SectionIndex,CourseIndex,CourseName,Category,Keyword,Delivery,Location,FormatedStartDate,FormatedEndDate,StartDate,EndDate,Credits,Cost,Price,FormatedCost,Teachers,Teachers2,AvailableForRegistration,CapAvailable,Cap,Enrolled,MeetingTimeDisplay,PublicNotes,DirectUrl,RegistrationPageUrl,RegistrationUrl,SourceUrl,Description
185,149,"Alaska Mandatory Child Abuse Reporter Training","Health and Behavioral Health","Alaska, OCS, Mandated Reporter",On-Demand,,Ongoing,Ongoing,,,0,,,,"Instructor Varied","Varied, Instructor",false,9998,9999,0,,,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3&FilterSectionIndex=185,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3&FilterSectionIndex=185,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3,"Mandated Reporter Training from Alaska OCS"
1367,692,"Alaska Medical Library","Community Education and Personal Enrichment","Library, Support, Community, Research",,"*Online - Hybrid",Ongoing,Ongoing,,,0,,,,"Instructor Varied","Varied, Instructor",false,9999,9999,0,,,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3&FilterSectionIndex=1367,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3&FilterSectionIndex=1367,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3,"The Alaska Medical Library stands by to support you!"
4305,1416,"Alaska Medication for Addiction Treatment Guide 3rd Edition Training Modules","Health and Behavioral Health","MAT, ECHO, AK",On-Demand,*Online,Ongoing,Ongoing,,,0,,,,"Instructor Varied, Dustin Muse","Varied, Instructor; Muse, Dustin",true,9989,9999,0,,,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3&FilterSectionIndex=4305,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3&FilterSectionIndex=4305,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3,"Earn CEUs in this on-demand training focused on MAT!"
1082,550,"Alaska Peer Specialist Training and Support","Health and Behavioral Health","Peer, Support, Mental Health",Hybrid,"*Online - Hybrid",Ongoing,Ongoing,,,0,,,,"Instructor Varied","Varied, Instructor",false,9999,9999,0,,,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3&FilterSectionIndex=1082,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3&FilterSectionIndex=1082,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3,"Earn CEU's and certifications as a Peer Support Specialist"
1334,674,"Alaska Pharmacy Association - Home Study CE","Health and Behavioral Health","Pharmacy, Continuing Education, CE, Alaska",On-Demand,*Online,Ongoing,Ongoing,,,0,,,,"Instructor Varied","Varied, Instructor",false,30,30,0,,,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3&FilterSectionIndex=1334,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3&FilterSectionIndex=1334,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3,"The APA has resources to help you obtain your pharmacy CEs!"
35,36,"Alaska Primary Care Association Community Health Worker ECHO","Health and Behavioral Health",,"Live / Online",,Ongoing,Ongoing,,,0,,,,"Instructor Varied","Varied, Instructor",false,9998,9999,0,,,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3&FilterSectionIndex=35,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3&FilterSectionIndex=35,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3,"CHW ECHO last Tuesday of the month 4-5pm"
30,24,"Alaska Tribal Perspective on COVID-19 Vaccination Efforts","Health and Behavioral Health","vaccine, Alaska Native, continuing education credits, Alaska",On-Demand,,Ongoing,Ongoing,,,0,,,,"Instructor Varied","Varied, Instructor",false,9996,9999,0,,,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3&FilterSectionIndex=30,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3&FilterSectionIndex=30,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3,"Successful strategies for COVID-19 vaccine distribution in AK."
3800,1307,"Alaskan Mobile Crisis Responder: Essential Skills and Strategies for Challenging Conditions","Health and Behavioral Health",,On-Demand,*Online,Ongoing,Ongoing,,,0,,,,"Katy Wright, Bekah Meyer, Dustin Muse, Aaron Walbrecher","Wright, Katy; Meyer, Bekah; Muse, Dustin; Walbrecher, Aaron",true,9924,9999,0,,,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3&FilterSectionIndex=3800,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3&FilterSectionIndex=3800,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3,"Mobile Crisis Response Training: Online CEs Available!"
1333,673,"American Dental Association - Continuing Education Learning Platform","Health and Behavioral Health","Dental, ADA, CE, Continuing Education",On-Demand,*Online,Ongoing,Ongoing,,,0,,,,"Instructor Varied","Varied, Instructor",false,9999,9999,0,,,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3&FilterSectionIndex=1333,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3&FilterSectionIndex=1333,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3,"The ADA supports CE with many low-or-no cost CE options!"
1310,657,"American Nurses Credentialing Center - GeroNursePrep","Health and Behavioral Health","Nursing, CE, Geriatric, Credentials",On-Demand,*Online,Ongoing,Ongoing,,,0,,,,"Instructor Varied","Varied, Instructor",false,9999,9999,0,,,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3&FilterSectionIndex=1310,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3&FilterSectionIndex=1310,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3,"Become board certified in Gerontological Nursing. 30 ANCC hours"
